Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
1,0,0,0,1169,0,0,0,67.0,0,0
2,1,1,0,5951,1,1,1,22.0,0,1
3,2,0,1,2096,1,2,0,49.0,1,0
4,0,1,2,7882,1,2,0,45.0,0,0
5,0,2,3,4870,1,1,0,53.0,0,1
6,2,1,1,9055,0,1,0,35.0,1,0
7,2,1,2,2835,2,0,0,53.0,0,0
8,1,1,4,6948,1,1,0,35.0,2,0
9,2,1,0,3059,3,2,2,61.0,1,0
10,1,0,3,5234,1,3,3,28.0,2,1
11,1,1,3,1295,1,4,1,25.0,0,1
12,0,1,5,4308,1,4,1,24.0,0,1
13,1,1,0,1567,1,1,1,22.0,0,0
14,0,0,3,1199,1,0,0,60.0,1,1
15,0,1,3,1403,1,1,1,28.0,0,0
16,0,1,0,1282,4,1,1,32.0,1,1
17,2,0,0,2424,0,0,0,53.0,0,0
18,0,3,5,8072,0,4,0,25.0,0,0
19,1,1,4,12579,1,0,1,44.0,2,1
20,2,1,0,3430,2,0,0,31.0,0,0
21,2,0,3,2134,1,1,0,48.0,0,0
22,0,1,0,2647,2,1,0,44.0,0,0
23,0,0,3,2241,1,4,0,48.0,1,0
24,1,0,4,1804,4,4,0,44.0,0,0
25,2,0,2,2069,0,1,3,26.0,0,0
26,0,1,2,1374,1,1,0,6.0,1,0
27,2,3,0,426,1,0,3,39.0,1,0
28,3,4,0,409,3,1,1,42.0,0,0
29,1,1,0,2415,1,1,0,34.0,0,0
30,0,2,5,6836,1,0,0,63.0,0,1
31,1,1,5,1913,3,4,3,36.0,0,0
32,0,1,2,4020,1,1,0,27.0,0,0
33,1,1,3,5866,4,1,0,30.0,0,0
34,2,0,5,1264,0,0,0,57.0,1,0
35,3,1,2,1474,1,4,1,33.0,2,0
36,1,0,0,4746,1,4,0,25.0,1,1
37,2,0,1,6110,1,1,0,31.0,0,0
38,3,1,0,2100,1,1,0,37.0,0,1
39,3,1,6,1225,1,1,0,37.0,0,0
40,1,1,0,458,1,1,0,24.0,0,0
41,2,1,0,2333,2,0,0,30.0,2,0
42,1,1,0,1158,2,1,2,26.0,0,0
43,1,2,7,6204,1,1,0,44.0,1,0
44,0,0,4,6187,4,2,3,24.0,0,0
45,0,0,4,6143,1,0,1,58.0,1,1
46,2,0,3,1393,1,4,1,35.0,2,0
47,2,1,0,2299,2,0,0,39.0,0,0
48,0,1,4,1352,2,3,1,23.0,3,0
49,2,0,3,7228,1,1,0,39.0,1,0
50,2,1,0,2073,4,1,1,28.0,0,0
51,1,2,2,2333,0,4,0,29.0,1,0
52,1,2,4,5965,1,0,0,30.0,2,0
53,2,1,0,1262,1,1,0,25.0,0,0
54,2,1,4,3378,0,1,0,35.59251769464105,0,0
55,1,2,3,2225,1,0,0,57.0,0,1
56,2,4,3,783,0,1,0,26.0,1,0
57,1,1,0,6468,0,3,0,52.0,2,1
58,2,0,0,9566,1,1,1,31.0,0,0
59,3,1,3,1961,1,0,1,23.0,2,0
60,0,0,2,6229,1,4,1,23.0,1,1
61,1,1,5,1391,1,1,3,27.0,0,0
62,1,0,0,1537,0,0,0,50.0,0,0
63,1,3,5,1953,1,0,0,61.0,2,1
64,1,3,5,14421,1,1,0,25.0,0,1
65,2,1,0,3181,1,4,1,26.0,0,0
66,2,1,7,5190,0,0,0,48.0,0,0
67,2,1,0,2171,1,4,1,29.0,0,0
68,1,1,3,1007,3,1,3,35.59251769464105,0,0
69,2,1,1,1819,1,1,0,37.0,0,1
70,2,1,0,2394,0,1,1,25.0,0,0
71,2,1,4,8133,1,1,1,30.0,0,0
72,2,0,0,730,0,0,0,46.0,1,0
73,0,0,8,1164,1,0,0,51.0,2,0
74,1,0,5,5954,1,2,1,41.0,1,0
75,0,1,1,1977,0,0,0,40.0,2,1
76,0,0,4,1526,1,0,0,66.0,2,0
77,0,1,0,3965,1,4,0,34.0,0,1
78,1,2,0,4771,1,2,0,51.0,0,0
79,2,3,4,9436,0,1,0,39.0,1,0
80,1,1,2,3832,1,4,3,35.59251769464105,0,0
81,2,1,0,5943,0,4,1,44.0,0,1
82,2,1,0,1213,2,0,0,47.0,0,0
83,2,1,5,1568,4,1,1,24.0,1,0
84,0,1,8,1755,1,0,1,58.0,1,0
85,0,1,0,2315,1,0,0,52.0,1,0
86,2,0,5,1412,1,1,1,29.0,2,0
87,1,0,2,1295,1,4,1,27.0,0,0
88,1,1,1,12612,4,1,0,47.0,0,1
89,0,1,3,2249,4,2,0,30.0,2,0
90,0,3,7,1108,1,2,0,28.0,0,1
91,2,0,0,618,1,0,0,56.0,0,0
92,0,0,4,1409,1,0,0,54.0,0,0
93,2,0,0,797,0,0,1,33.0,1,1
94,3,0,2,3617,0,0,0,20.0,0,0
95,1,1,3,1318,3,0,0,54.0,0,0
96,1,3,5,15945,1,4,0,58.0,0,1
97,2,0,1,2012,0,2,1,61.0,0,0
98,1,1,5,2622,4,1,0,34.0,0,0
99,1,0,0,2337,1,0,0,36.0,0,0
100,1,2,4,7057,0,2,0,36.0,2,0
101,2,1,3,1469,4,0,3,41.0,1,0
102,1,1,0,2323,1,2,0,24.0,0,0
103,2,2,0,932,1,1,1,24.0,0,0
104,1,0,2,1919,1,2,0,35.0,0,0
105,2,1,4,2445,0,4,3,26.0,0,0
106,1,0,8,11938,1,1,0,39.0,2,1
107,2,4,3,6458,1,0,0,39.0,2,1
108,1,1,3,6078,1,2,0,32.0,0,0
109,0,1,2,7721,0,4,1,30.0,0,0
110,1,1,5,1410,2,0,3,35.0,0,0
111,1,2,5,1449,4,0,2,31.0,0,0
112,3,1,1,392,1,4,1,23.0,0,0
113,1,1,3,6260,1,2,0,28.0,1,0
114,2,0,3,7855,1,1,1,25.0,0,1
115,0,1,0,1680,2,0,3,35.0,0,0
116,2,0,0,3578,0,0,0,47.0,0,0
117,0,1,0,7174,0,2,1,30.0,2,1
118,0,0,2,2132,0,4,1,27.0,0,0
119,0,0,2,4281,2,1,1,23.0,0,1
120,1,0,3,2366,2,2,2,36.0,2,0
121,0,1,0,1835,1,1,1,25.0,0,1
122,2,0,4,3868,1,0,1,41.0,2,0
123,2,1,2,1768,1,1,0,24.0,1,0
124,3,0,3,781,1,0,0,63.0,0,0
125,1,1,2,1924,0,4,1,27.0,0,1
126,0,0,3,2121,1,1,0,30.0,0,0
127,0,1,0,701,1,1,3,40.0,1,0
128,1,1,7,639,1,1,0,30.0,0,1
129,1,0,4,1860,1,3,0,34.0,2,0
130,0,0,3,3499,1,1,1,29.0,0,1
131,1,1,3,8487,0,2,1,24.0,0,0
132,0,2,1,6887,1,1,0,29.0,0,1
133,2,1,2,2708,1,4,0,27.0,1,0
134,2,1,2,1984,1,1,0,47.0,0,0
135,2,1,0,10144,4,2,1,21.0,0,0
136,2,0,0,1240,0,0,1,38.0,0,0
137,2,2,4,8613,3,1,0,27.0,0,0
138,1,1,0,766,2,1,0,66.0,1,1
139,1,0,0,2728,0,2,0,35.0,0,0
140,3,1,0,1881,1,1,1,44.0,1,0
